Data,faixaEtaria,quantidade,sexo
2020-03-26,40 a 44 anos,15,Feminino
2020-03-26,40 a 44 anos,24,Masculino
2020-03-26,45 a 49 anos,18,Masculino
2020-03-26,45 a 49 anos,16,Feminino
2020-03-26,50 a 54 anos,20,Masculino
2020-03-26,50 a 54 anos,8,Feminino
2020-03-26,55 a 59 anos,17,Masculino
2020-03-26,55 a 59 anos,12,Feminino
2020-03-26,60 a 64 anos,7,Feminino
2020-03-26,60 a 64 anos,12,Masculino
2020-03-26,65 a 69 anos,6,Masculino
2020-03-26,65 a 69 anos,7,Feminino
2020-03-26,70 a 74 anos,4,Feminino
2020-03-26,70 a 74 anos,4,Masculino
2020-03-26,75 a 79 anos,1,Feminino
2020-03-26,75 a 79 anos,5,Masculino
2020-03-26,80 anos ou mais,5,Feminino
2020-03-26,80 anos ou mais,3,Masculino
2020-03-26,Indefinido,2,Masculino
2020-03-27,0 a 4 anos,1,Masculino
2020-03-27,0 a 4 anos,3,Feminino
2020-03-27,5 a 9 anos,1,Masculino
2020-03-27,5 a 9 anos,2,Feminino
2020-03-27,10 a 14 anos,1,Feminino
2020-03-27,10 a 14 anos,1,Masculino
2020-03-27,15 a 19 anos,2,Feminino
2020-03-27,15 a 19 anos,1,Masculino
2020-03-27,20 a 24 anos,14,Feminino
2020-03-27,20 a 24 anos,7,Masculino
2020-03-27,25 a 29 anos,7,Feminino
2020-03-27,25 a 29 anos,13,Masculino
2020-03-27,30 a 34 anos,18,Feminino
2020-03-27,30 a 34 anos,18,Masculino
2020-03-27,35 a 39 anos,27,Feminino
2020-03-27,35 a 39 anos,30,Masculino
2020-03-27,40 a 44 anos,28,Masculino
2020-03-27,40 a 44 anos,18,Feminino
2020-03-27,45 a 49 anos,16,Feminino
2020-03-27,45 a 49 anos,21,Masculino
2020-03-27,50 a 54 anos,12,Feminino
2020-03-27,50 a 54 anos,24,Masculino
2020-03-27,55 a 59 anos,18,Masculino
2020-03-27,55 a 59 anos,14,Feminino
2020-03-27,60 a 64 anos,10,Feminino
2020-03-27,60 a 64 anos,13,Masculino
2020-03-27,65 a 69 anos,7,Feminino
2020-03-27,65 a 69 anos,8,Masculino
2020-03-27,70 a 74 anos,4,Feminino
2020-03-27,70 a 74 anos,5,Masculino
2020-03-27,75 a 79 anos,1,Feminino
2020-03-27,75 a 79 anos,5,Masculino
2020-03-27,80 anos ou mais,6,Feminino
2020-03-27,80 anos ou mais,4,Masculino
2020-03-27,Indefinido,1,Feminino
2020-03-27,Indefinido,2,Masculino
2020-03-28,0 a 4 anos,2,Masculino
2020-03-28,0 a 4 anos,3,Feminino
2020-03-28,5 a 9 anos,1,Masculino
2020-03-28,5 a 9 anos,2,Feminino
2020-03-28,10 a 14 anos,1,Feminino
2020-03-28,10 a 14 anos,1,Masculino
2020-03-28,15 a 19 anos,2,Feminino
2020-03-28,15 a 19 anos,1,Masculino
2020-03-28,20 a 24 anos,15,Feminino
2020-03-28,20 a 24 anos,7,Masculino
2020-03-28,25 a 29 anos,11,Feminino
2020-03-28,25 a 29 anos,15,Masculino
2020-03-28,30 a 34 anos,21,Feminino
2020-03-28,30 a 34 anos,18,Masculino
2020-03-28,35 a 39 anos,28,Feminino
2020-03-28,35 a 39 anos,31,Masculino
2020-03-28,40 a 44 anos,28,Masculino
2020-03-28,40 a 44 anos,20,Feminino
2020-03-28,45 a 49 anos,16,Feminino
2020-03-28,45 a 49 anos,23,Masculino
2020-03-28,50 a 54 anos,13,Feminino
2020-03-28,50 a 54 anos,26,Masculino
2020-03-28,55 a 59 anos,18,Masculino
2020-03-28,55 a 59 anos,16,Feminino
2020-03-28,60 a 64 anos,10,Feminino
2020-03-28,60 a 64 anos,13,Masculino
2020-03-28,65 a 69 anos,8,Feminino
2020-03-28,65 a 69 anos,8,Masculino
2020-03-28,70 a 74 anos,4,Feminino
2020-03-28,70 a 74 anos,6,Masculino
2020-03-28,75 a 79 anos,1,Feminino
2020-03-28,75 a 79 anos,6,Masculino
2020-03-28,80 anos ou mais,6,Feminino
2020-03-28,80 anos ou mais,5,Masculino
2020-03-28,Indefinido,1,Feminino
2020-03-28,Indefinido,2,Masculino
2020-03-29,0 a 4 anos,2,Masculino
2020-03-29,0 a 4 anos,3,Feminino
2020-03-29,5 a 9 anos,1,Masculino
2020-03-29,5 a 9 anos,2,Feminino
2020-03-29,10 a 14 anos,1,Feminino
2020-03-29,10 a 14 anos,1,Masculino
2020-03-29,15 a 19 anos,3,Feminino
2020-03-29,15 a 19 anos,1,Masculino
2020-03-29,20 a 24 anos,16,Feminino
2020-03-29,20 a 24 anos,7,Masculino
2020-03-29,25 a 29 anos,11,Feminino
2020-03-29,25 a 29 anos,16,Masculino
2020-03-29,30 a 34 anos,23,Feminino
2020-03-29,30 a 34 anos,21,Masculino
2020-03-29,35 a 39 anos,31,Feminino
2020-03-29,35 a 39 anos,33,Masculino
2020-03-29,40 a 44 anos,31,Masculino
2020-03-29,40 a 44 anos,22,Feminino
2020-03-29,45 a 49 anos,18,Feminino
2020-03-29,45 a 49 anos,24,Masculino
2020-03-29,50 a 54 anos,13,Feminino
2020-03-29,50 a 54 anos,29,Masculino
2020-03-29,55 a 59 anos,18,Masculino
2020-03-29,55 a 59 anos,17,Feminino
2020-03-29,60 a 64 anos,12,Feminino
2020-03-29,60 a 64 anos,14,Masculino
2020-03-29,65 a 69 anos,10,Feminino
2020-03-29,65 a 69 anos,8,Masculino
2020-03-29,70 a 74 anos,4,Feminino
2020-03-29,70 a 74 anos,9,Masculino
2020-03-29,75 a 79 anos,1,Feminino
2020-03-29,75 a 79 anos,6,Masculino
2020-03-29,80 anos ou mais,7,Feminino
2020-03-29,80 anos ou mais,5,Masculino
2020-03-29,Indefinido,1,Feminino
2020-03-29,Indefinido,2,Masculino
2020-03-30,0 a 4 anos,2,Masculino
2020-03-30,0 a 4 anos,3,Feminino
2020-03-30,5 a 9 anos,2,Masculino
2020-03-30,5 a 9 anos,2,Feminino
2020-03-30,10 a 14 anos,1,Feminino
2020-03-30,10 a 14 anos,1,Masculino
2020-03-30,15 a 19 anos,4,Feminino
2020-03-30,15 a 19 anos,1,Masculino
2020-03-30,20 a 24 anos,16,Feminino
2020-03-30,20 a 24 anos,7,Masculino
2020-03-30,25 a 29 anos,11,Feminino
2020-03-30,25 a 29 anos,16,Masculino
2020-03-30,30 a 34 anos,23,Feminino
2020-03-30,30 a 34 anos,21,Masculino
2020-03-30,35 a 39 anos,32,Feminino
2020-03-30,35 a 39 anos,35,Masculino
2020-03-30,40 a 44 anos,33,Masculino
2020-03-30,40 a 44 anos,22,Feminino
2020-03-30,45 a 49 anos,19,Feminino
2020-03-30,45 a 49 anos,25,Masculino
2020-03-30,50 a 54 anos,14,Feminino
2020-03-30,50 a 54 anos,29,Masculino
2020-03-30,55 a 59 anos,20,Masculino
2020-03-30,55 a 59 anos,19,Feminino
2020-03-30,60 a 64 anos,13,Feminino
2020-03-30,60 a 64 anos,17,Masculino
2020-03-30,65 a 69 anos,10,Feminino
2020-03-30,65 a 69 anos,9,Masculino
2020-03-30,70 a 74 anos,4,Feminino
2020-03-30,70 a 74 anos,9,Masculino
2020-03-30,75 a 79 anos,1,Feminino
2020-03-30,75 a 79 anos,6,Masculino
2020-03-30,80 anos ou mais,7,Feminino
2020-03-30,80 anos ou mais,5,Masculino
2020-03-30,Indefinido,1,Feminino
2020-03-30,Indefinido,2,Masculino
2020-03-31,0 a 4 anos,2,Masculino
2020-03-31,0 a 4 anos,3,Feminino
2020-03-31,5 a 9 anos,2,Masculino
2020-03-31,5 a 9 anos,2,Feminino
